Frequenz (Hz)	Pegel (dB)
15590,039063	-100,941978
15633,105469	-101,096748
15676,171875	-101,261169
15719,238281	-102,196693
15762,304688	-103,930840
15805,371094	-103,668373
15848,437500	-106,065231
15891,503906	-105,901299
15934,570313	-105,947838
15977,636719	-106,198242
16020,703125	-106,216705
16063,769531	-107,092766
16106,835938	-106,329224
16149,902344	-104,960747
16192,968750	-105,985962
16236,035156	-107,630272
16279,101563	-107,631783
16322,167969	-107,129623
16365,234375	-107,065758
16408,300781	-107,279518
16451,367188	-105,065407
16494,433594	-105,388443
16537,500000	-105,372322
16580,566406	-104,032768
16623,632813	-103,864578
16666,699219	-104,387512
16709,765625	-103,360001
16752,832031	-99,367744
16795,898438	-103,326393
16838,964844	-107,847046
16882,031250	-108,746346
16925,097656	-109,033974
16968,164063	-106,672935
17011,230469	-102,798973
17054,296875	-101,259636
17097,363281	-99,972534
17140,429688	-99,860802
17183,496094	-102,027557
17226,562500	-101,943993
17269,628906	-99,888931
17312,695313	-96,342049
17355,761719	-88,476761
17398,828125	-91,439552
17441,894531	-97,285439
17484,960938	-98,754929
17528,027344	-100,555183
17571,093750	-94,558136
17614,160156	-91,563263
17657,226563	-92,940613
17700,292969	-89,172249
17743,359375	-93,417862
17786,425781	-98,714073
17829,492188	-97,254448
17872,558594	-95,144218
17915,625000	-94,678940
17958,691406	-94,360626
18001,757813	-89,402710
18044,824219	-88,240326
18087,890625	-90,569984
18130,957031	-91,817993
18174,023438	-87,829605
18217,089844	-86,318802
18260,156250	-88,449799
18303,222656	-90,452461
18346,289063	-91,004471
18389,355469	-95,074783
18432,421875	-101,066200
18475,488281	-101,431770
18518,554688	-102,686264
18561,621094	-104,002350
18604,687500	-106,506699
18647,753906	-107,801010
18690,820313	-110,654213
18733,886719	-111,928810
18776,953125	-112,093262
18820,019531	-112,532249
18863,085938	-113,285835
18906,152344	-113,989388
18949,218750	-114,007729
18992,285156	-113,571854
19035,351563	-112,795204
19078,417969	-113,175636
19121,484375	-113,248764
19164,550781	-112,083221
19207,617188	-111,569733
19250,683594	-113,341515
19293,750000	-113,559982
19336,816406	-114,281136
19379,882813	-114,693527
19422,949219	-115,149467
19466,015625	-116,455719
19509,082031	-115,778801
19552,148438	-114,229088
19595,214844	-114,418541
19638,281250	-113,833595
19681,347656	-113,774399
19724,414063	-113,184692
19767,480469	-113,534546
19810,546875	-112,785469
19853,613281	-112,828232
19896,679688	-113,115265
19939,746094	-113,021736
19982,812500	-112,969421
20025,878906	-113,367889
20068,945313	-114,559036
20112,011719	-115,226295
20155,078125	-114,052284
20198,144531	-114,473755
20241,210938	-114,714973
20284,277344	-116,110603
20327,343750	-115,359322
20370,410156	-116,140419
20413,476563	-116,414444
20456,542969	-114,620934
20499,609375	-112,622978
20542,675781	-113,192238
20585,742188	-113,878860
20628,808594	-112,150223
20671,875000	-113,845650
20714,941406	-114,383850
20758,007813	-114,852226
20801,074219	-115,713684
20844,140625	-116,565033
20887,207031	-117,031860
20930,273438	-116,416008
20973,339844	-116,206512
21016,406250	-118,095863
21059,472656	-119,911949
21102,539063	-119,999580
21145,605469	-120,759842
21188,671875	-124,924515
21231,738281	-128,475677
21274,804688	-131,724533
21317,871094	-132,698776
21360,937500	-134,814941
21404,003906	-139,159882
21447,070313	-141,869080
21490,136719	-146,141418
21533,203125	-150,492401
21576,269531	-154,792114
21619,335938	-157,355667
21662,402344	-165,070953
21705,468750	-171,547668
21748,535156	-177,452332
21791,601563	-185,760620
21834,667969	-185,413788
21877,734375	-184,786057
21920,800781	-187,305679
21963,867188	-186,770279
22006,933594	-178,985687
